Frame;TimeStamp;Value
256;10.218.752;-0.61
257;10.261.647;-0.61
258;10.304.055;-0.61
259;1.034.614;-0.61
260;10.377.763;-0.61
261;10.421.869;-0.61
262;10.464.558;-0.61
263;10.505.971;-0.61
264;10.538.212;-0.61
265;10.580.516;-0.61
266;10.623.987;-0.61
267;10.666.337;-0.61
268;10.697.772;-0.61
269;10.740.271;-0.61
270;10.783.485;-0.61
271;10.826.262;-0.61
272;10.859.314;-0.61
273;10.901.028;-0.61
274;1.094.341;-0.61
275;10.986.253;-0.61
276;11.018.414;-0.61
277;11.061.146;-0.61
278;11.103.648;-0.61
279;11.145.599;-0.61
280;11.178.083;-0.61
281;11.220.457;-0.61
282;11.262.994;-0.61
283;11.306.085;-0.61
284;11.337.909;-0.61
285;11.380.588;-0.61
286;11.423.571;-0.61
287;11.466.898;-0.61
288;11.498.181;-0.61
289;11.540.446;-0.61
290;11.582.851;-0.61
291;11.626.243;-0.61
292;11.658.597;-0.61
293;11.700.648;-0.61
294;11.742.899;-0.61
295;11.786;-0.61
296;11.818.648;-0.61
297;11.861.144;-0.61
298;11.903.428;-0.61
299;11.946.235;-0.61
300;11.978.583;-0.61
301;12.021.378;-0.61
302;12.063.861;-0.61
303;12.105.828;-0.61
304;12.138.475;-0.61
305;12.181.201;-0.61
306;12.224.052;-0.61
307;12.266.255;-0.61
308;12.298.355;-0.61
309;12.340.635;-0.61
310;12.383.316;-0.61
311;12.426.467;-0.61
312;12.458.649;-0.61
313;1.250.143;-0.61
314;12.544.146;-0.61
315;12.586.152;-0.61
316;12.617.904;-0.61
317;1.266.131;-0.61
318;12.703.535;-0.61
319;12.746.515;-0.61
320;12.778.021;-0.61
321;12.820.958;-0.61
322;12.864.283;-0.61
323;12.905.728;-0.61
324;12.938.731;-0.61
325;12.980.667;-0.61
326;1.302.283;-0.61
327;13.066.378;-0.61
328;13.098.014;-0.61
329;13.140.856;-0.61
330;13.183.689;-0.61
331;13.226.302;-0.61
332;1.325.941;-0.61
333;13.301.376;-0.61
334;13.344.094;-0.61
335;13.386.913;-0.61
336;13.418.476;-0.61
337;13.460.391;-0.61
338;13.503.489;-0.61
339;13.546.489;-0.61
340;13.578.334;-0.61
341;13.621.127;-0.61
342;13.663.701;-0.61
343;13.707.015;-0.61
344;1.373.875;-0.61
345;13.781.316;-0.61
346;13.823.628;-0.61
347;1.386.563;-0.61
348;13.897.971;-0.61
349;13.940.545;-0.61
350;13.983.157;-0.61
351;14.026.032;-0.61
352;1.405.844;-0.61
353;14.100.729;-0.61
354;14.143.908;-0.61
355;14.185.589;-0.61
356;14.217.758;-0.616
357;14.263.251;-0.619
358;14.302.906;-0.627
359;14.346.502;-0.627
360;14.378.122;-0.627
361;14.420.824;-0.63
362;14.465.689;-0.636
363;14.505.543;-0.638
364;1.453.842;-0.639
365;14.580.837;-0.639
366;14.623.928;-0.639
367;14.668.288;-0.639
368;14.698.224;-0.639
369;14.740.994;-0.639
370;14.783.781;-0.639
371;14.826.469;-0.639
372;14.858.375;-0.639
373;1.490.035;-0.641
