Frame;TimeStamp;Value
244;10.2365;-0.472
245;10.274545;-0.17
246;10.317424;0.019
247;10.359829;0.16
248;10.39211;0.154
249;10.434757;0.099
250;10.47712;-0.062
251;10.520132;-0.283
252;10.552767;-0.552
253;10.59508;-0.559
254;10.637269;-0.527
255;10.679878;-0.032
256;10.712049;0.312
257;10.755282;0.605
258;10.797863;0.613
259;10.843594;0.458
260;10.872501;0.072
261;10.915091;-0.252
262;10.957291;-0.416
263;11.0001;-0.375
264;11.031872;-0.057
265;11.074551;0.482
266;11.117763;0.676
267;11.162024;0.711
268;11.192356;0.447
269;11.2344;-0.073
270;11.277273;-0.585
271;11.319845;-0.599
272;11.353307;-0.237
273;11.394566;0.391
274;11.43749;0.833
275;11.480147;0.978
276;11.514268;0.78
277;11.556604;0.021
278;11.598036;-0.264
279;11.644843;-0.31
280;11.671713;-0.082
281;11.714726;0.265
282;11.760621;0.625
283;11.800659;0.645
284;11.831872;0.54
285;11.875047;-0.041
286;11.917665;-0.377
287;11.962126;-0.396
288;11.995002;-0.081
289;12.034599;0.345
290;12.07763;0.751
291;12.12059;0.786
292;12.1544;0.582
293;12.194851;0.252
294;12.237423;0.134
295;12.280005;0.291
296;12.313581;0.574
297;12.356247;0.722
298;12.397868;0.625
299;12.440623;0.391
300;12.472818;0.332
301;12.515057;0.431
302;12.557593;0.5
303;12.600562;0.409
304;12.632289;-0.046
305;12.674866;-0.8
306;12.717781;-1
307;12.759882;-1
308;12.792572;-0.965
309;12.837176;-0.596
310;12.877523;-0.266
311;12.919997;0.043
312;12.951771;0.398
313;12.995337;0.54
314;13.038399;0.571
315;13.080299;0.574
316;13.112044;0.573
317;13.155097;0.573
318;13.198455;0.574
319;13.240371;0.576
320;13.271853;0.578
321;13.314831;0.578
322;13.357137;0.578
323;13.400335;0.578
324;13.436191;0.578
325;13.475536;0.578
326;13.518286;0.578
327;13.559924;0.578
328;13.596077;0.578
329;13.636241;0.578
330;13.677563;0.578
331;13.720295;0.578
332;13.75621;0.578
333;13.795849;0.578
334;13.83859;0.578
335;13.880612;0.578
336;13.913258;0.578
337;13.954793;0.578
338;13.99777;0.578
339;14.040027;0.578
340;14.072168;0.578
341;14.115017;0.578
342;14.157148;0.578
343;14.200839;0.578
344;14.236159;0.578
345;14.274685;0.578
346;14.317817;0.578
347;14.359706;0.578
348;14.392309;0.578
349;14.434641;0.578
350;14.477148;0.578
351;14.520024;0.578
352;14.553026;0.578
353;14.595066;0.578
354;14.637954;0.578
355;14.679659;0.578
356;14.712238;0.578
357;14.754668;0.578
358;14.797785;0.578
359;14.84112;0.578
360;14.872794;0.578
361;14.91434;0.578
362;14.958381;0.578
363;15.000247;0.578
364;15.033399;0.578
365;15.075399;0.578
366;15.117669;0.578
367;15.159625;0.578
368;15.19229;0.578
369;15.235428;0.578
370;15.277659;0.578
371;15.319663;0.578
372;15.356435;0.578
373;15.394874;0.578
374;15.437965;0.578
375;15.480307;0.578
376;15.516274;0.578
377;15.554974;0.578
378;15.597338;0.578
379;15.64041;0.578
380;15.672701;0.578
381;15.714899;0.578
382;15.7572;0.578
383;15.800841;0.578
384;15.831727;0.578
385;15.875506;0.578
386;15.917603;0.578
387;15.960545;0.578
388;15.99189;0.578
389;16.034346;0.578
390;16.077531;0.578
391;16.120298;0.578
392;16.152614;0.578
393;16.19434;0.578
394;16.236952;0.578
395;16.280172;0.578
396;16.312484;0.578
397;16.354653;0.578
398;16.397121;0.578
399;16.440485;0.578
400;16.472607;0.578
401;16.515313;0.578
402;16.55706;0.578
403;16.600088;0.578
404;16.632641;0.578
405;16.67482;0.578
406;16.717472;0.578
407;16.759832;0.578
408;16.792525;0.578
409;16.835056;0.578
410;16.877715;0.578
411;16.920986;0.578
412;16.952473;0.578
413;16.995225;0.578
414;17.037882;0.578
415;17.08;0.578
416;17.112868;0.578
417;17.15437;0.578
418;17.19712;0.578
419;17.240249;0.578
420;17.272545;0.578
421;17.315074;0.578
422;17.357501;0.578
423;17.400207;0.578
424;17.43224;0.578
425;17.474518;0.578
426;17.517027;0.578
427;17.560701;0.578
428;17.596192;0.578
429;17.636063;0.578
430;17.678507;0.578
431;17.720781;0.578
432;17.751788;0.578
433;17.795525;0.578
434;17.838291;0.578
435;17.881168;0.578
436;17.911719;0.578
437;17.955011;0.578
438;17.997748;0.578
439;18.040195;0.578
440;18.076118;0.578
441;18.114343;0.578
442;18.157433;0.578
443;18.200188;0.578
