Frame;TimeStamp;Value
0;0.016936;0.0
1;0.019303;0.0
2;0.061426;0.0
3;0.104484;0.0
4;0.136582;0.0
5;0.179431;0.0
6;0.222156;0.0
7;0.263914;0.0
8;0.296238;0.0
9;0.338672;0.0
10;0.381227;0.0
11;0.424555;0.0
12;0.456559;0.0
13;0.499118;0.0
14;0.542421;0.0
15;0.584981;0.0
16;0.616697;0.0
17;0.658538;0.0
18;0.701351;0.0
19;0.743704;0.0
20;0.776999;0.0
21;0.818846;0.0
22;0.861983;0.0
23;0.904018;0.0
24;0.936582;6.621054066066961e-05
25;0.980263;0.00012732796280898003
26;1.021718;0.00018391816850186007
27;1.064288;0.00023646621664524865
28;1.096159;0.00028539026146840357
29;1.138843;0.00033105270330334815
30;1.182246;0.0003737691811489414
31;1.224438;0.00041381587912918513
32;1.256022;0.0004514355045045656
33;1.298967;0.0004868422107402178
34;1.341707;0.000520225676619547
35;1.383821;0.0005517545055055802
36;1.41711;0.0005815790733707467
37;1.459006;0.0006098339271377466
38;1.501294;0.0006366398140449003
39;1.544037;0.0006621054066066964
40;1.577023;0.0006863287751410878
41;1.619423;0.0007093986499357461
42;1.661334;0.0007313955072980948
43;1.70393;0.0007523925075076096
44;1.736351;0.0007724563077078125
45;1.778495;0.0007916477687688762
46;1.822026;0.0008100225719124478
47;1.864074;0.0008276317582583706
48;1.896347;0.0008445222023044598
49;1.938716;0.0008607370285887054
50;1.981779;0.0008763159793323924
51;2.02457;0.0008912957396628606
52;2.056283;0.0009057102260185942
53;2.098708;0.0009195908425093007
54;2.141231;0.000932966709309436
55;2.18495;0.0009539126296351592
56;2.217202;0.0009899367538453554
57;2.259858;0.0010324889208592205
58;2.301359;0.0011690805760745646
59;2.344203;0.0013979835943923708
60;2.378734;0.0017545237221162791
61;2.419741;0.002134650808579182
62;2.461213;0.002522442538077416
63;2.504899;0.0029121993613736184
64;2.53738;0.0033003638531307034
65;2.578959;0.003745650117979525
66;2.622158;0.004228092919441055
67;2.666915;0.004719542720251012
68;2.696458;0.0052397609855358105
69;2.739077;0.005753995348127841
70;2.781815;0.006254947676640116
71;2.824173;0.006746731568556012
72;2.85676;0.0072273828690638375
73;2.899071;0.007703126163323469
74;2.941831;0.00817073999936398
75;2.984215;0.008639539414275213
76;3.016231;0.009100600886228822
77;3.059093;0.009553126588601106
78;3.101107;0.009996359091053113
79;3.144971;0.01042851078094382
80;3.180601;0.010856321266554855
81;3.219228;0.011273697350077815
82;3.262164;0.011682045628040238
83;3.304601;0.012082705716182633
84;3.336291;0.012475948962381004
85;3.379103;0.012864021170552499
86;3.422098;0.013246118533898949
87;3.464799;0.013623415698329401
88;3.496599;0.013998954613431633
