TimeStamp;UserId;NameVideo;AnnoType;Value
5.2279888;3870;lollo_mp4;arousal;0.898
5.2777201;3870;lollo_mp4;arousal;0.925
5.3107128;3870;lollo_mp4;arousal;0.941
5.3606153;3870;lollo_mp4;arousal;0.943
5.3938796;3870;lollo_mp4;arousal;0.943
5.4448514;3870;lollo_mp4;arousal;0.943
5.4776594;3870;lollo_mp4;arousal;0.945
5.5124804;3870;lollo_mp4;arousal;0.956
5.561273;3870;lollo_mp4;arousal;0.959
5.594529;3870;lollo_mp4;arousal;0.959
5.6273339;3870;lollo_mp4;arousal;0.959
5.6781265;3870;lollo_mp4;arousal;0.959
5.7107964;3870;lollo_mp4;arousal;0.959
5.7607187;3870;lollo_mp4;arousal;0.959
5.7941779;3870;lollo_mp4;arousal;0.959
5.8273454;3870;lollo_mp4;arousal;0.959
5.8776854;3870;lollo_mp4;arousal;0.959
5.9108833;3870;lollo_mp4;arousal;0.959
5.9605803;3870;lollo_mp4;arousal;0.959
5.9942201;3870;lollo_mp4;arousal;0.959
6.0285226;3870;lollo_mp4;arousal;0.959
6.0774359;3870;lollo_mp4;arousal;0.959
6.1109185;3870;lollo_mp4;arousal;0.959
6.1605749;3870;lollo_mp4;arousal;0.959
6.1939148;3870;lollo_mp4;arousal;0.959
6.2272004;3870;lollo_mp4;arousal;0.959
6.2783817;3870;lollo_mp4;arousal;0.959
6.3107096;3870;lollo_mp4;arousal;0.959
6.3609587;3870;lollo_mp4;arousal;0.959
6.3940502;3870;lollo_mp4;arousal;0.959
6.4277102;3870;lollo_mp4;arousal;0.959
6.4775343;3870;lollo_mp4;arousal;0.959
6.5118264;3870;lollo_mp4;arousal;0.959
6.5612943;3870;lollo_mp4;arousal;0.959
6.594634;3870;lollo_mp4;arousal;0.959
6.6276691;3870;lollo_mp4;arousal;0.959
6.6774269;3870;lollo_mp4;arousal;0.959
6.7106599;3870;lollo_mp4;arousal;0.959
6.760643;3870;lollo_mp4;arousal;0.959
6.794677;3870;lollo_mp4;arousal;0.959
6.8275169;3870;lollo_mp4;arousal;0.959
