frame, timestamp, x_0, x_16, y_21, y_8
118, 4.680, 331.8, 431.9, 145.7, 246.9
119, 4.720, 331.7, 431.8, 143.0, 246.5
120, 4.760, 331.7, 432.0, 140.2, 244.8
121, 4.800, 332.2, 431.8, 137.6, 242.4
122, 4.840, 332.8, 431.2, 135.0, 240.3
123, 4.880, 334.3, 431.9, 133.4, 239.0
124, 4.920, 335.4, 433.7, 132.7, 238.1
125, 4.960, 337.7, 435.4, 132.3, 236.1
126, 5.000, 339.8, 437.5, 131.8, 235.2
127, 5.040, 341.4, 440.3, 131.3, 236.1
128, 5.080, 342.1, 442.2, 131.1, 235.9
129, 5.120, 342.9, 444.8, 131.0, 235.9
130, 5.160, 344.6, 445.2, 131.3, 236.1
131, 5.200, 346.1, 447.7, 131.4, 236.7
132, 5.240, 348.0, 450.0, 131.8, 236.6
133, 5.280, 350.6, 451.8, 132.5, 236.1
134, 5.320, 353.1, 453.9, 133.3, 234.8
135, 5.360, 354.8, 455.3, 133.6, 233.8
136, 5.400, 357.1, 456.8, 133.9, 233.4
137, 5.440, 358.7, 458.2, 134.4, 233.5
138, 5.480, 359.9, 459.6, 134.8, 233.7
139, 5.520, 360.7, 460.6, 135.1, 234.2
140, 5.560, 311.9, 416.6, 130.4, 230.2
141, 5.600, 313.4, 421.9, 130.0, 230.2
142, 5.640, 314.0, 425.7, 130.0, 230.4
143, 5.680, 313.7, 426.3, 130.2, 230.5
144, 5.720, 313.6, 425.9, 130.2, 230.3
145, 5.760, 312.2, 424.0, 131.1, 230.3
146, 5.800, 310.9, 421.3, 131.7, 230.6
147, 5.840, 310.1, 418.6, 131.8, 232.4
148, 5.880, 310.0, 416.6, 131.5, 236.2
149, 5.920, 310.0, 415.4, 132.0, 237.5
150, 5.960, 310.3, 415.1, 132.6, 237.0
151, 6.000, 310.6, 413.9, 133.6, 236.0
152, 6.040, 311.5, 415.9, 134.2, 234.3
153, 6.080, 313.2, 417.5, 135.1, 234.7
154, 6.120, 316.3, 420.3, 136.4, 236.4
155, 6.160, 319.8, 421.2, 138.6, 239.9
156, 6.200, 323.3, 424.3, 141.9, 245.7
157, 6.240, 326.1, 428.7, 145.9, 249.1
158, 6.280, 327.9, 432.5, 149.5, 251.2
159, 6.320, 328.3, 433.8, 151.7, 253.1
160, 6.360, 327.6, 433.3, 152.6, 253.9
161, 6.400, 327.1, 431.3, 152.4, 253.5
162, 6.440, 327.0, 428.1, 151.6, 252.8
163, 6.480, 325.4, 423.9, 149.8, 252.2
164, 6.520, 324.4, 424.1, 147.7, 249.2
165, 6.560, 323.6, 423.0, 145.4, 245.8
166, 6.600, 323.3, 422.3, 142.3, 242.1
167, 6.640, 324.2, 423.7, 139.0, 239.8
168, 6.680, 326.0, 427.1, 136.2, 236.9
169, 6.720, 328.5, 430.2, 133.5, 233.5
170, 6.760, 329.5, 428.3, 131.4, 230.6
171, 6.800, 330.2, 429.3, 129.8, 228.5
172, 6.840, 331.7, 432.0, 129.2, 226.9
173, 6.880, 332.0, 431.9, 128.0, 225.8
174, 6.920, 331.7, 431.4, 126.3, 226.2
175, 6.960, 331.2, 431.1, 125.1, 225.8
176, 7.000, 331.1, 431.1, 124.9, 223.1
177, 7.040, 329.5, 430.9, 126.3, 225.7
178, 7.080, 327.9, 429.1, 129.0, 230.9
179, 7.120, 326.2, 428.0, 133.4, 236.5
180, 7.160, 325.0, 426.6, 138.5, 241.0
181, 7.200, 324.1, 425.7, 143.8, 245.4
182, 7.240, 325.6, 427.1, 148.4, 250.6
183, 7.280, 326.0, 425.6, 151.2, 253.5
184, 7.320, 325.7, 423.7, 152.3, 252.6
185, 7.360, 324.9, 422.8, 151.3, 250.2
186, 7.400, 323.6, 422.2, 149.5, 248.2
187, 7.440, 322.2, 421.8, 147.9, 247.3
188, 7.480, 322.0, 421.7, 147.1, 246.8
189, 7.520, 322.1, 421.4, 146.6, 247.2
190, 7.560, 322.2, 421.6, 146.3, 247.2
191, 7.600, 322.5, 421.8, 145.5, 246.8
192, 7.640, 322.8, 422.3, 144.3, 246.4
193, 7.680, 323.0, 422.6, 142.4, 245.3
194, 7.720, 323.4, 423.4, 140.5, 243.3
195, 7.760, 324.3, 424.8, 138.3, 240.4
196, 7.800, 331.3, 429.2, 143.6, 237.3
197, 7.840, 331.2, 429.7, 140.3, 235.6
198, 7.880, 329.1, 428.5, 138.7, 236.6
199, 7.920, 327.4, 426.4, 140.7, 236.8
200, 7.960, 326.6, 424.9, 143.7, 235.5
201, 8.000, 325.6, 423.7, 145.9, 234.1
202, 8.040, 324.9, 423.0, 147.1, 234.5
203, 8.080, 324.0, 422.4, 148.3, 234.8
204, 8.120, 323.9, 422.0, 149.0, 235.0
205, 8.160, 324.2, 421.0, 148.7, 235.8
206, 8.200, 324.6, 422.6, 147.4, 235.5
207, 8.240, 324.7, 423.1, 145.8, 234.6
208, 8.280, 324.1, 422.5, 144.5, 234.8
209, 8.320, 323.8, 422.9, 144.0, 236.7
210, 8.360, 324.1, 423.6, 143.8, 238.3
211, 8.400, 324.3, 425.0, 144.0, 239.9
212, 8.440, 325.5, 425.8, 143.9, 240.9
213, 8.480, 325.4, 426.2, 143.6, 242.8
214, 8.520, 325.4, 426.2, 143.1, 243.7
215, 8.560, 325.4, 426.6, 143.5, 243.2
216, 8.600, 325.1, 427.0, 145.6, 241.9
217, 8.640, 324.6, 427.8, 148.4, 241.6
218, 8.680, 323.2, 428.5, 150.2, 242.5
219, 8.720, 324.7, 427.0, 151.7, 244.7
220, 8.760, 325.5, 427.9, 153.4, 246.1
221, 8.800, 325.9, 429.4, 154.7, 247.4
222, 8.840, 324.4, 430.4, 156.2, 249.3
223, 8.880, 323.5, 431.2, 157.8, 251.4
224, 8.920, 322.9, 432.5, 159.6, 254.6
225, 8.960, 324.1, 433.3, 161.1, 257.6
226, 9.000, 323.1, 426.2, 163.4, 260.9
227, 9.040, 321.9, 426.1, 166.3, 262.6
228, 9.080, 321.5, 426.7, 169.6, 263.3
229, 9.120, 321.6, 427.0, 172.9, 264.2
230, 9.160, 321.6, 427.1, 175.2, 265.9
231, 9.200, 321.6, 427.1, 176.6, 267.4
232, 9.240, 321.7, 427.5, 177.1, 268.2
233, 9.280, 321.7, 427.7, 177.1, 268.7
234, 9.320, 321.7, 428.3, 176.5, 268.9
235, 9.360, 321.7, 428.5, 175.3, 269.4
236, 9.400, 321.8, 428.9, 173.7, 269.8
237, 9.440, 322.3, 428.8, 171.6, 270.4
238, 9.480, 322.6, 428.8, 169.4, 269.3
239, 9.520, 323.0, 429.0, 166.7, 266.5
240, 9.560, 323.8, 429.3, 164.0, 262.8
241, 9.600, 325.4, 429.9, 160.9, 260.1
242, 9.640, 326.7, 431.1, 158.6, 258.6
243, 9.680, 327.5, 432.4, 156.6, 257.8
244, 9.720, 327.7, 432.9, 156.1, 257.4
245, 9.760, 327.9, 433.5, 156.1, 256.9
246, 9.800, 328.4, 433.9, 155.7, 256.3
247, 9.840, 329.1, 434.1, 155.2, 255.3
248, 9.880, 329.7, 434.5, 155.5, 254.4
249, 9.920, 330.3, 434.8, 156.5, 254.5
250, 9.960, 330.6, 434.6, 157.7, 254.9
251, 10.000, 330.2, 433.9, 157.7, 255.3
252, 10.040, 329.8, 432.8, 157.7, 253.5
253, 10.080, 329.1, 431.4, 157.5, 252.3
254, 10.120, 327.9, 429.4, 157.1, 251.8
255, 10.160, 326.8, 427.5, 156.7, 252.5
256, 10.200, 325.2, 426.2, 156.8, 254.3
257, 10.240, 323.4, 425.3, 157.6, 256.2
