frame, timestamp, x_0, x_16, y_21, y_8
118, 13.258, 239.2, 542.2, 226.2, 522.9
119, 13.362, 251.3, 554.9, 226.6, 521.5
120, 13.473, 265.2, 568.6, 226.8, 516.6
121, 13.556, 280.3, 582.0, 227.0, 520.9
122, 13.665, 296.3, 597.5, 228.1, 525.3
123, 13.760, 313.7, 619.0, 225.8, 527.1
124, 13.850, 330.8, 645.2, 224.3, 525.5
125, 13.946, 342.8, 662.5, 225.0, 525.5
126, 14.067, 359.9, 680.4, 225.7, 525.3
127, 14.175, 374.9, 689.4, 224.3, 529.3
128, 14.250, 394.3, 700.7, 226.8, 528.2
129, 14.372, 412.0, 714.3, 226.9, 528.4
130, 14.457, 432.3, 733.9, 228.7, 529.4
131, 14.562, 452.2, 751.1, 228.6, 530.4
132, 14.655, 470.8, 770.8, 229.4, 531.6
133, 14.761, 486.2, 791.0, 226.1, 527.0
134, 14.859, 503.3, 812.8, 222.0, 526.1
135, 14.959, 516.8, 831.9, 220.8, 528.7
136, 15.058, 522.4, 851.2, 218.6, 527.9
137, 15.212, 539.9, 871.3, 217.0, 527.4
138, 15.281, 550.9, 891.4, 218.3, 526.9
139, 15.465, 587.3, 913.9, 222.2, 528.8
140, 15.570, 606.2, 934.1, 221.3, 520.1
141, 15.680, 619.0, 943.6, 221.9, 520.4
142, 15.753, 627.2, 952.2, 222.1, 522.5
143, 15.849, 623.9, 957.7, 223.5, 522.3
144, 16.060, 624.4, 956.0, 225.1, 524.9
145, 16.153, 693.2, 976.6, 223.3, 521.7
146, 16.400, 695.4, 973.6, 221.2, 519.7
147, 16.459, 691.5, 977.7, 223.8, 518.1
148, 16.553, 694.6, 981.8, 224.6, 516.0
149, 16.649, 700.7, 992.0, 226.2, 514.3
150, 16.762, 714.0, 1005.2, 226.9, 514.3
151, 16.858, 731.9, 1023.2, 227.9, 512.4
152, 16.962, 744.5, 1036.4, 225.4, 508.0
153, 17.064, 756.8, 1049.4, 223.7, 509.3
154, 17.162, 770.2, 1065.4, 222.8, 508.7
155, 17.256, 779.1, 1076.2, 221.7, 509.0
156, 17.354, 783.8, 1081.7, 219.7, 505.1
157, 17.453, 786.1, 1084.0, 213.4, 499.2
158, 17.562, 792.4, 1090.6, 211.3, 498.4
159, 17.664, 803.4, 1102.2, 209.2, 492.9
160, 17.762, 816.0, 1114.8, 207.6, 490.4
161, 17.885, 827.5, 1127.4, 203.0, 487.8
162, 17.970, 839.4, 1139.1, 201.9, 487.1
163, 18.121, 850.7, 1151.8, 205.2, 488.3
164, 18.188, 862.5, 1164.1, 207.7, 491.4
165, 18.249, 871.0, 1173.6, 212.1, 496.2
166, 18.370, 877.9, 1179.1, 217.5, 498.4
167, 18.520, 882.1, 1182.6, 221.6, 499.8
168, 18.591, 887.4, 1186.7, 222.9, 497.8
169, 18.650, 893.9, 1189.2, 222.2, 491.9
170, 18.770, 896.8, 1188.2, 220.7, 487.9
171, 18.893, 902.4, 1193.5, 222.9, 489.2
172, 18.978, 913.5, 1206.2, 230.8, 498.7
173, 19.050, 928.6, 1224.5, 235.7, 508.0
174, 19.247, 949.6, 1247.7, 241.6, 516.5
175, 19.310, 963.4, 1257.2, 244.5, 516.3
176, 19.365, 976.0, 1267.7, 245.8, 515.5
177, 19.471, 987.1, 1271.6, 246.0, 516.0
178, 19.571, 1002.1, 1279.5, 245.3, 516.9
179, 19.657, 1019.1, 1291.2, 248.4, 514.2
180, 19.858, 1038.3, 1310.5, 244.9, 511.8
181, 19.914, 1044.7, 1277.4, 243.3, 498.3
182, 19.986, 1045.1, 1265.6, 245.3, 493.7
183, 20.057, 1047.1, 1267.2, 243.2, 491.9
184, 20.161, 1049.1, 1262.6, 240.9, 490.7
185, 20.265, 1049.1, 1262.6, 240.4, 490.3
186, 20.361, 1048.9, 1263.2, 244.1, 490.2
187, 20.457, 1048.9, 1262.9, 243.0, 490.4
188, 20.553, 1049.7, 1262.6, 245.0, 490.9
189, 20.686, 1048.3, 1262.2, 243.2, 490.6
190, 20.760, 1047.7, 1262.3, 245.0, 491.8
191, 20.866, 1047.5, 1259.5, 245.9, 492.4
192, 20.960, 1048.8, 1259.5, 244.3, 491.6
193, 21.074, 1046.1, 1254.5, 242.3, 493.0
194, 21.314, 1041.9, 1255.8, 246.0, 496.1
195, 21.373, 1034.1, 1252.4, 244.3, 496.4
196, 21.467, 1030.3, 1249.4, 244.6, 495.9
197, 21.560, 1022.6, 1245.4, 244.0, 493.8
198, 21.662, 1014.7, 1239.1, 244.4, 493.6
199, 21.764, 1008.9, 1241.2, 241.0, 493.0
200, 21.869, 1004.4, 1242.9, 243.0, 495.3
201, 21.975, 998.9, 1240.7, 244.3, 496.1
202, 22.058, 992.7, 1245.5, 242.7, 496.3
203, 22.250, 987.4, 1259.2, 241.0, 496.5
204, 22.304, 979.9, 1257.2, 240.6, 496.4
205, 22.367, 972.2, 1241.1, 238.9, 495.3
206, 22.462, 963.7, 1234.1, 240.3, 494.9
207, 22.726, 950.0, 1221.9, 238.9, 496.2
208, 22.786, 932.2, 1212.8, 237.4, 505.7
209, 22.856, 910.7, 1200.8, 236.9, 514.9
210, 22.953, 893.7, 1188.6, 234.4, 517.1
211, 23.074, 880.3, 1175.1, 233.5, 516.8
212, 23.180, 867.1, 1160.5, 233.0, 514.7
213, 23.258, 851.7, 1146.9, 233.4, 515.8
214, 23.353, 838.3, 1132.5, 235.2, 513.0
215, 23.465, 825.9, 1118.4, 235.0, 507.0
216, 23.563, 815.5, 1104.6, 232.8, 501.7
217, 23.676, 803.1, 1102.0, 229.3, 502.2
218, 23.763, 789.1, 1097.1, 228.7, 510.1
219, 23.866, 774.5, 1089.9, 228.0, 508.7
220, 23.961, 758.6, 1097.2, 225.8, 503.5
221, 24.066, 745.5, 1084.7, 224.6, 496.3
222, 24.201, 734.0, 1070.6, 223.5, 490.7
223, 24.279, 720.2, 1049.2, 224.8, 491.3
224, 24.361, 706.0, 1034.8, 226.1, 497.4
225, 24.460, 696.3, 1031.6, 226.7, 502.7
226, 24.569, 689.1, 1031.3, 223.3, 504.6
227, 24.697, 682.4, 1027.8, 223.3, 511.4
228, 24.762, 675.1, 1010.7, 224.5, 512.8
229, 24.861, 663.2, 1004.7, 225.4, 518.2
230, 24.971, 652.8, 996.9, 227.4, 523.3
231, 25.085, 642.7, 977.7, 229.5, 528.9
232, 25.164, 636.4, 959.6, 232.5, 533.4
233, 25.257, 631.7, 946.1, 234.9, 535.5
234, 25.379, 626.4, 931.9, 238.0, 538.1
235, 25.524, 622.6, 922.7, 238.4, 539.4
236, 25.635, 619.2, 918.1, 238.3, 541.8
237, 25.745, 618.1, 914.6, 239.5, 543.0
238, 25.816, 616.7, 917.1, 239.7, 543.0
239, 25.888, 615.6, 919.4, 240.6, 541.3
240, 25.961, 615.1, 918.7, 241.3, 541.3
241, 26.062, 615.5, 918.3, 241.3, 540.2
242, 26.169, 616.9, 917.9, 241.3, 544.6
243, 26.269, 620.7, 919.2, 241.0, 549.3
244, 26.361, 623.7, 921.7, 240.9, 561.9
245, 26.462, 620.2, 921.7, 239.0, 546.5
246, 26.575, 619.8, 901.0, 239.9, 537.4
