frame, timestamp, x_0, x_16, y_21, y_8
118, 4.680, 324.9, 431.9, 137.5, 235.4
119, 4.720, 325.6, 433.1, 137.7, 236.4
120, 4.760, 326.6, 434.3, 137.6, 237.3
121, 4.800, 327.7, 435.4, 137.7, 236.5
122, 4.840, 328.8, 436.2, 137.7, 235.5
123, 4.880, 329.6, 437.1, 137.2, 234.6
124, 4.920, 330.5, 437.7, 136.0, 233.8
125, 4.960, 331.0, 438.3, 134.1, 232.5
126, 5.000, 331.7, 438.4, 132.8, 230.5
127, 5.040, 332.0, 438.8, 132.1, 230.9
128, 5.080, 332.4, 438.8, 132.1, 233.6
129, 5.120, 333.1, 439.3, 132.4, 234.4
130, 5.160, 333.9, 440.4, 133.0, 234.3
131, 5.200, 334.6, 440.9, 134.1, 233.0
132, 5.240, 335.7, 441.1, 135.6, 232.1
133, 5.280, 337.2, 440.6, 136.9, 232.0
134, 5.320, 337.7, 438.7, 138.2, 232.0
135, 5.360, 337.3, 438.2, 139.1, 232.8
136, 5.400, 337.7, 439.0, 139.9, 234.0
137, 5.440, 338.4, 440.5, 141.3, 234.7
138, 5.480, 339.3, 441.1, 142.2, 233.5
139, 5.520, 339.6, 440.4, 142.3, 233.2
140, 5.560, 338.6, 439.8, 142.3, 233.7
141, 5.600, 337.7, 438.3, 141.9, 233.2
142, 5.640, 336.7, 436.9, 141.3, 232.5
143, 5.680, 335.6, 435.3, 140.0, 232.8
144, 5.720, 334.7, 433.2, 138.4, 229.5
145, 5.760, 333.8, 431.8, 137.0, 227.1
146, 5.800, 333.1, 431.3, 136.3, 225.3
147, 5.840, 330.2, 431.4, 134.8, 224.6
148, 5.880, 329.6, 431.6, 134.5, 226.3
149, 5.920, 328.9, 432.2, 134.0, 229.0
150, 5.960, 328.4, 432.4, 133.3, 229.9
151, 6.000, 327.3, 433.1, 131.6, 230.6
152, 6.040, 326.8, 433.4, 131.2, 230.7
153, 6.080, 326.9, 433.9, 131.4, 229.7
154, 6.120, 327.6, 434.2, 131.4, 228.2
155, 6.160, 327.9, 434.8, 131.7, 227.8
156, 6.200, 328.5, 435.3, 131.7, 227.9
157, 6.240, 329.2, 435.9, 131.9, 227.6
158, 6.280, 329.9, 436.5, 132.3, 228.3
159, 6.320, 330.5, 437.2, 133.1, 230.0
160, 6.360, 331.0, 438.2, 134.3, 230.9
161, 6.400, 332.2, 439.0, 135.0, 231.2
162, 6.440, 333.9, 440.5, 135.7, 231.7
163, 6.480, 335.3, 441.9, 136.0, 231.5
164, 6.520, 336.6, 443.3, 135.3, 230.6
165, 6.560, 338.7, 445.0, 134.5, 229.4
166, 6.600, 340.8, 446.6, 133.4, 228.1
167, 6.640, 342.4, 447.8, 132.6, 227.1
168, 6.680, 343.7, 449.0, 131.5, 226.3
169, 6.720, 344.7, 450.3, 131.4, 226.0
170, 6.760, 345.3, 450.9, 131.3, 226.3
171, 6.800, 345.3, 451.2, 130.7, 226.3
172, 6.840, 345.2, 451.3, 128.2, 226.1
173, 6.880, 344.7, 450.9, 124.6, 226.3
174, 6.920, 344.5, 450.3, 123.6, 226.6
175, 6.960, 344.0, 449.3, 124.4, 227.3
176, 7.000, 343.3, 448.3, 127.8, 229.4
177, 7.040, 342.4, 447.6, 131.6, 231.3
178, 7.080, 341.4, 446.5, 134.9, 231.9
179, 7.120, 340.6, 445.9, 138.2, 234.4
180, 7.160, 339.6, 445.5, 142.0, 238.0
181, 7.200, 339.1, 445.1, 145.6, 241.5
182, 7.240, 339.5, 445.4, 149.4, 244.0
183, 7.280, 340.3, 445.4, 152.7, 245.3
184, 7.320, 341.0, 445.2, 155.1, 246.7
185, 7.360, 341.8, 445.2, 157.1, 247.5
186, 7.400, 341.9, 445.6, 158.3, 248.3
187, 7.440, 341.8, 445.9, 159.3, 251.1
188, 7.480, 342.0, 446.4, 160.5, 247.3
189, 7.520, 342.4, 446.0, 161.5, 251.0
190, 7.560, 341.5, 445.8, 162.2, 247.9
191, 7.600, 340.8, 445.6, 162.1, 244.9
192, 7.640, 340.5, 445.3, 162.3, 242.1
193, 7.680, 339.9, 444.0, 161.6, 246.8
194, 7.720, 338.6, 444.6, 160.1, 245.9
195, 7.760, 340.5, 443.4, 160.5, 248.1
196, 7.800, 338.2, 442.4, 157.9, 247.0
197, 7.840, 339.9, 441.8, 159.1, 245.6
198, 7.880, 339.0, 441.3, 159.5, 245.6
199, 7.920, 336.9, 439.8, 159.3, 245.9
200, 7.960, 337.9, 439.3, 159.1, 246.1
201, 8.000, 336.7, 439.9, 158.5, 246.4
